Apartment,Address,Price,Beds,Amenities
The Legacy Apartments,"5205 N North Blvd, Tampa, FL 33603","$1,499 - $4,541",1-3 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'Refrigerator']"
Crosstown Walk,"10151 Iris Crosstown Dr, Tampa, FL 33619","$1,601 - $3,611",1-3 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'Kitchen', 'In Unit Washer & Dryer']"
The Preserve at Westchase,"12349 W Linebaugh Ave, Tampa, FL 33626","$1,814 - $3,443",1-3 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'Kitchen', 'In Unit Washer & Dryer']"
Fernwood Grove Apartments,"4900 N Macdill Ave, Tampa, FL 33614","$1,365 - $1,685",1-2 Beds,"['Pets Allowed', 'Pool', 'Refrigerator', 'In Unit Washer & Dryer']"
The Hyde Park Collection,"511 S Westland Ave, Tampa, FL 33606","$900 - $1,900",Studio - 2 Beds,"['Pets Allowed', 'Dishwasher', 'Maintenance on site', 'Ceiling Fans']"
Haven at Waters Edge,"8415 N Armenia Ave, Tampa, FL 33604","$1,274 - $2,388",1-2 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'Refrigerator']"
Tuscany Bay Apartments,"12065 Tuscany Bay Dr, Tampa, FL 33626","$1,843 - $4,788",1-3 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'Refrigerator']"
Waterview at Rocky Point Apartments,"4314 Ginger Cove Dr, Tampa, FL 33634","$1,539 - $1,875",1-3 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'In Unit Washer & Dryer']"
Deerpath on the Lake,"10200 N Armenia Ave, Tampa, FL 33612","$1,273 - $4,208",Studio - 3 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'Kitchen', 'In Unit Washer & Dryer']"
Andover Place at Cross Creek,"10328 Venitia Real Ave, Tampa, FL 33647","$1,344 - $2,295",1-3 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'Refrigerator']"
MAA Rocky Point,"3101 N Rocky Point Dr E, Tampa, FL 33607","$1,500 - $5,145",1-3 Beds,"['Pets Allowed', 'Gated']"
Vinings at Hunter's Green,"8801 Hunters Lake Dr, Tampa, FL 33647","$1,482 - $2,899",1-3 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'Refrigerator']"
Viridian Apartments,"12702 University Club Dr, Tampa, FL 33612","$1,222 - $2,316",1-3 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'Refrigerator']"
The Addison at Tampa Oaks,"13052 Tampa Oaks Blvd, Tampa, FL 33637","$1,355 - $2,420",Studio - 3 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Clubhouse', 'Maintenance on site']"
THE PARQ AT CROSS CREEK,"10821 Cross Creek Blvd, Tampa, FL 33647","$1,672 - $2,552",1-3 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Kitchen', 'In Unit Washer & Dryer']"
The Villas at Westchase,"12201 Lexington Park Dr, Tampa, FL 33626","$1,712 - $4,892",1-3 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Clubhouse', 'Stainless Steel Appliances']"
Warehouse Lofts,"1703 N Tampa St, Tampa, FL 33602","$1,595 - $2,300",Studio - 2 Beds,"['Pets Allowed', 'Fitness Center', 'Dishwasher', 'Refrigerator']"
Sun Bay Palms at South Tampa,"6237 S Manhattan Ave, Tampa, FL 33616","$1,749 - $2,260",2 Beds,"['Pets Allowed', 'Pool', 'Dishwasher', 'Kitchen', 'In Unit Washer & Dryer']"
Portofino Apartments,"8702 New Tampa Blvd, Tampa, FL 33647","$1,602 - $2,056",1-3 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'In Unit Washer & Dryer']"
Grove at Temple Terrace,"8741 Grove Terrace, Tampa, FL 33617","$1,225 - $1,475",2 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'Refrigerator']"
The Fitzgerald,"1211 E Kennedy Blvd, Tampa, FL 33602","$2,624 - $3,721",1-2 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'Refrigerator']"
