Apartment,Address,Price,Beds,Amenities
Lark on 42nd,"14202 N 42nd St, Tampa, FL 33613","$899 - $1,009",2-4 Beds,"['Pool', 'Fitness Center', 'Furnished Units Available', 'Elevator', 'Controlled Access', 'Business Center', 'Grill', 'Gated', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access']"
Armature Place,"4131 E Busch Blvd, Tampa, FL 33617","$850 - $1,150",1-2 Beds,"['Air Conditioning', 'Washer/Dryer Hookup', 'Hardwood Floors', 'Disposal']"
3318 W. De Leon,"3318 W De Leon St, Tampa, FL 33609","$1,800 - $2,550",Studio - 2 Beds,"['Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access']"
Casa Buchman - Ybor City,"1910 E 7th Ave, Tampa, FL 33605","$1,724 - $1,787",Studio,"['Laundry Facilities', 'Controlled Access', 'Key Fob Entry', 'Maintenance on site', 'Air Conditioning', 'Dishwasher', 'Hardwood Floors', 'Granite Countertops', 'Microwave', 'Refrigerator', 'Disposal', 'Ice Maker']"
Casa Pedroso - Ybor City,"1311 E 8th Ave, Tampa, FL 33605","$1,999 - $2,150",1-2 Beds,"['Furnished Units Available', 'Elevator', 'Controlled Access', 'Key Fob Entry', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'Hardwood Floors']"
Seazen At Rocky Point,"7616 W Courtney Campbell Cswy, Tampa, FL 33607","$1,897 - $5,226",Studio - 3 Beds,"['Pool', 'Fitness Center', 'Lounge', 'Waterfront', 'Air Conditioning', 'Patio', 'Stainless Steel Appliances', 'Office']"
MAA Bay View,"2600 N Rocky Point Dr, Tampa, FL 33607","$1,865 - $3,745",1-2 Beds,"['Pool', 'Fitness Center', 'Clubhouse', 'Controlled Access', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'Hardwood Floors', 'Walk-In Closets', 'Granite Countertops', 'Yard', 'Refrigerator']"
Amelia at Westshore,"6608 S West Shore Blvd, Tampa, FL 33616","$1,920 - $3,310",1-3 Beds,"['Pool', 'Clubhouse', 'Controlled Access', 'Recycling', 'Business Center', 'Grill', 'Gated', 'Conference Rooms', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Hardwood Floors', 'Walk-In Closets', 'Island Kitchen', 'Granite Countertops']"
Gunby,"1303 S Gunby Ave, Tampa, FL 33606","$2,375",1 Bed,"['Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Hardwood Floors']"
Bay Villa Place,"1407 S Bay Villa Pl, Tampa, FL 33629","$2,950",2 Beds,"['Fitness Center', 'Laundry Facilities', 'Key Fob Entry', 'Maintenance on site', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Hardwood Floors']"
Curiosity Creek Apartments,"102 Curiosity Creek Ln, Tampa, FL 33612","$1,245",Studio - 2 Beds,"['24 Hour Access', 'Property Manager on Site', 'Maintenance on site', 'Public Transportation', 'Washer/Dryer Hookup', 'High Speed Internet Access', 'Refrigerator', 'Tub/Shower']"
Columbia Park Apartments,"14309 N 18th St Ave, Tampa, FL 33613","$1,900 - $2,300",3 Beds,"['Washer/Dryer', 'Air Conditioning', 'Washer/Dryer Hookup', 'High Speed Internet Access']"
MAA Carrollwood,"14009 Clubhouse Cir, Tampa, FL 33618","$1,508 - $3,158",1-2 Beds,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Clubhouse', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access']"
Casa Socarras,"1304 E 7th Ave, Tampa, FL 33605",Call for Rent,Studio,"['Controlled Access', 'Key Fob Entry', 'Trash Pickup - Door to Door', 'Maintenance on site', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'Hardwood Floors']"
2307-09 S. Clewis,"2307-2309 S Clewis Ct, Tampa, FL 33629","$2,250",1 Bed,"['Fitness Center', 'Key Fob Entry', 'Maintenance on site', 'Waterfront', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Hardwood Floors', 'Walk-In Closets', 'Granite Countertops', 'Microwave']"
Waterstone at Carrollwood,"3339 Handy Rd, Tampa, FL 33618","$1,460 - $1,779",1-2 Beds,"['Pool', 'Fitness Center', 'Playground', 'Clubhouse', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'Walk-In Closets', 'Refrigerator', 'Wi-Fi', 'Disposal', 'Ice Maker']"
Dauphine Apartments,"2515 W Frierson Ave, Tampa, FL 33614","$1,650 - $1,995",2 Beds,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Controlled Access', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Microwave', 'Refrigerator', 'Tub/Shower', 'Patio']"
916 S Rome,"916 S Rome Ave, Tampa, FL 33606","$1,975",Studio,"['Fitness Center', 'Laundry Facilities', 'Key Fob Entry', 'Maintenance on site', 'Air Conditioning', 'Dishwasher', 'Washer/Dryer Hookup', 'High Speed Internet Access', 'Hardwood Floors', 'Walk-In Closets', 'Granite Countertops', 'Microwave']"
2916-2918 W Bay Vista Ave,"2916-2918 W Bay Vista Ave, Tampa, FL 33611","$3,150",2 Beds,"['Fitness Center', 'Key Fob Entry', '24 Hour Access', 'Maintenance on site', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Hardwood Floors', 'Tub/Shower', 'Patio', 'Tile Floors']"
Heron,"815 Water St, Tampa, FL 33602","$2,905 - $32,191",1-3 Beds,"['Pool', 'Fitness Center', 'Elevator', 'Concierge', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'Hardwood Floors']"
Laurel Oaks,"8781 Orange Leaf Ct, Tampa, FL 33637","$1,394 - $2,249",1-3 Beds,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Playground', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access']"
2001 W. Dekle,"2001 W Dekle Ave, Tampa, FL 33606","$2,160 - $2,250",1 Bed,"['Fitness Center', 'Laundry Facilities', 'Grill', 'Key Fob Entry', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Hardwood Floors']"
Allora Uptown,"14350 Ambrosia St, Tampa, FL 33613","$1,615 - $2,315",1-2 Beds,"['Pool', 'Fitness Center', 'Concierge', 'Business Center', 'Washer/Dryer', 'Air Conditioning', 'Island Kitchen', 'Granite Countertops']"
224 South Melville,"224 S Melville Ave, Tampa, FL 33606","$2,250",1 Bed,"['Fitness Center', 'Grill', 'Key Fob Entry', 'Maintenance on site', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Hardwood Floors', 'Microwave', 'Refrigerator', 'Tub/Shower']"
Pierhouse at Channelside,"1226 E Cumberland Ave, Tampa, FL 33602","$2,095 - $3,544",Studio - 2 Beds,"['Pool', 'Fitness Center', 'Clubhouse', 'Grill']"
The Park on 56th,"11110 N 56th St, Tampa, FL 33617","$1,700 - $1,950",2 Beds,"['Pool', 'Laundry Facilities', 'Playground', 'Grill', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'Washer/Dryer Hookup', 'High Speed Internet Access', 'Hardwood Floors', 'Walk-In Closets', 'Island Kitchen']"
The Vendome,"1710 W Jetton Ave, Tampa, FL 33606","$2,495",1 Bed,"['Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access']"
Casa Oliva - Ybor City,"2008 N 19th St, Tampa, FL 33605","$1,575 - $1,599",Studio,"['Elevator', 'Clubhouse', 'Controlled Access', 'Key Fob Entry', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'Hardwood Floors']"
The Oasis Club,"500 S Himes Ave, Tampa, FL 33609","$1,800",2 Beds,"['Pool', 'Laundry Facilities', 'Property Manager on Site', 'Maintenance on site', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'Walk-In Closets']"
Roma on Dale Mabry,"5901-5921 S Dale Mabry Hwy, Tampa, FL 33611","$1,695",3 Beds,"['Day Care', 'Trash Pickup - Curbside', 'Package Service', 'Walking/Biking Trails', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access']"
3001 W. Horatio,"3001 W Horatio St, Tampa, FL 33609","$2,250 - $2,650",1-2 Beds,"['Fitness Center', 'Grill', 'Lounge', 'Waterfront', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Hardwood Floors', 'Walk-In Closets', 'Granite Countertops', 'Microwave']"
326 Plant,"326 S Plant Ave, Tampa, FL 33606","$2,295",1 Bed,"['Fitness Center', 'Key Fob Entry', '24 Hour Access', 'Maintenance on site', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Hardwood Floors', 'Granite Countertops', 'Microwave', 'Refrigerator']"
Texas,"2317 W Texas Ave, Tampa, FL 33629",Call for Rent,1 Bed,"['Air Conditioning', 'Tub/Shower', 'Office', 'Heating']"
Rosewood,"8525 N Armenia Ave, Tampa, FL 33604","$1,175 - $1,950",Studio - 2 Beds,"['Pool', 'Laundry Facilities', 'Playground', 'Basketball Court', 'Air Conditioning', 'Refrigerator', 'Tub/Shower', 'Security System']"
MAA SoHo Square,"712 S Howard Ave, Tampa, FL 33606","$2,329 - $6,558",1-2 Beds,"['Pool', 'Fitness Center', 'Furnished Units Available', 'Elevator', 'Clubhouse', 'Controlled Access', 'Recycling', 'Business Center', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Walk-In Closets', 'Island Kitchen', 'Granite Countertops', 'Refrigerator']"
Grand Oaks Apartments,"8450 Standish Bend Dr, Tampa, FL 33615","$1,306 - $1,594",1-2 Beds,"['Pool', 'Fitness Center', 'Playground', 'Clubhouse', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'Washer/Dryer Hookup', 'High Speed Internet Access', 'Hardwood Floors', 'Walk-In Closets', 'Granite Countertops']"
Innovo Living On Waters,"8421 Del Lago Cir, Tampa, FL 33614","$1,410 - $2,570",Studio - 3 Beds,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Playground', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'Loft Layout', 'High Speed Internet Access', 'Hardwood Floors', 'Walk-In Closets', 'Island Kitchen']"
Mosaic Westshore,"110 S Hoover Blvd, Tampa, FL 33609","$1,880 - $4,403",1-3 Beds,"['Pool', 'Fitness Center', 'Furnished Units Available', 'Elevator', 'Washer/Dryer', 'High Speed Internet Access', 'Granite Countertops', 'Refrigerator']"
Greenbriar,"4310 W North B St, Tampa, FL 33609","$1,395 - $1,595",1-2 Beds,"['Air Conditioning', 'High Speed Internet Access', 'Hardwood Floors', 'Refrigerator']"
Westminster,"6910 Interbay Blvd, Tampa, FL 33616","$1,264 - $1,640",1-2 Beds,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Playground', 'Air Conditioning', 'Dishwasher', 'Washer/Dryer Hookup', 'High Speed Internet Access']"
3311-13 W. San Juan,"3311-3313 W San Juan St, Tampa, FL 33629","$1,950 - $2,000",1 Bed,"['Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Hardwood Floors', 'Granite Countertops', 'Microwave', 'Refrigerator']"
Avina North,"13101 Aarans Pond Dr, Tampa, FL 33612","$1,199 - $1,499",1-2 Beds,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Playground', 'Air Conditioning', 'Dishwasher', 'Washer/Dryer Hookup', 'Hardwood Floors']"
5 West Apartments,"5150 Net Dr, Tampa, FL 33634","$1,784 - $2,797",1-2 Beds,"['Pool', 'Fitness Center', 'Elevator', 'Clubhouse', 'Washer/Dryer', 'Air Conditioning', 'High Speed Internet Access', 'Wi-Fi']"
East Ybor Casitas,"2306 E 8th Ave, Tampa, FL 33605","$1,550",1 Bed,"['Washer/Dryer', 'Dishwasher', 'Microwave', 'Refrigerator']"
Meridian Luxury Condominiums,"7605 Pinery Way, Tampa, FL 33615","$1,605 - $1,959",1-2 Beds,[]
Essex Place Luxury Apartments,"3415 W Hillsborough Ave, Tampa, FL 33614","$1,380 - $2,099",1-2 Beds,"['Pool', 'Fitness Center', 'Playground', 'Business Center', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Hardwood Floors', 'Walk-In Closets', 'Granite Countertops', 'Microwave']"
The Lorenzo,"1408 S Lorenzo Ave, Tampa, FL 33629","$1,905",1 Bed,"['Fitness Center', 'Laundry Facilities', 'Key Fob Entry', 'Maintenance on site', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Hardwood Floors', 'Granite Countertops', 'Microwave', 'Refrigerator', 'Freezer']"
Oak Manor Apartment Homes,"5105 Mission Hills Ave, Tampa, FL 33617","$1,160 - $1,425",1-2 Beds,"['Pool', 'Laundry Facilities', 'Gated', 'Trash Pickup - Door to Door', 'Washer/Dryer', 'Dishwasher', 'High Speed Internet Access', 'Walk-In Closets']"
Revere Landings,"1520 E Fletcher Ave, Tampa, FL 33612","$1,225 - $1,399",1-2 Beds,"['Fitness Center', 'Playground', 'Clubhouse', 'Controlled Access', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'Washer/Dryer Hookup', 'High Speed Internet Access', 'Hardwood Floors', 'Walk-In Closets', 'Refrigerator']"
Milana Reserve Apartment Homes,"8730 N Himes Ave, Tampa, FL 33614","$1,357 - $3,043",1-2 Beds,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Clubhouse', 'Air Conditioning', 'Dishwasher', 'Washer/Dryer Hookup', 'High Speed Internet Access', 'Walk-In Closets', 'Disposal', 'Fireplace', 'Patio']"
Urban Place Apartments,"13401 N 50th St, Tampa, FL 33617","$1,399 - $2,890",1-4 Beds,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Playground', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'Washer/Dryer Hookup', 'Walk-In Closets', 'Granite Countertops', 'Microwave', 'Refrigerator']"
Eagles Point at Tampa Palms Apartments,"14551 N 46th St, Tampa, FL 33613","$1,327 - $1,888",1-3 Beds,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Clubhouse', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Walk-In Closets', 'Granite Countertops', 'Microwave', 'Refrigerator']"
Northgreen at Carrollwood,"3831 Northgreen Ave, Tampa, FL 33624","$1,326 - $2,391",1-2 Beds,"['Pool', 'Fitness Center', 'Playground', 'Clubhouse', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access']"
916 S Oregon,"916 S Oregon Ave, Tampa, FL 33606","$1,885",Studio,"['Fitness Center', 'Laundry Facilities', 'Key Fob Entry', 'Bicycle Storage', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Refrigerator']"
Uptown Palms Apartments,"13036 Kain Palms Ct, Tampa, FL 33612","$1,299 - $1,999",1-3 Beds,"['Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'Washer/Dryer Hookup', 'Granite Countertops', 'Yard', 'Microwave', 'Refrigerator']"
Windsor Highwoods Preserve,"18002 Richmond Pl Dr, Tampa, FL 33647","$1,595 - $3,644",1-4 Beds,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Playground', 'Clubhouse', 'Controlled Access', 'Business Center', 'Grill', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'Washer/Dryer Hookup', 'Walk-In Closets', 'Microwave', 'Refrigerator', 'Tub/Shower']"
Serenity Lake Apartments,"14566 Seaford Cir, Tampa, FL 33613","$1,275 - $1,925",1-2 Beds,"['Pool', 'Fitness Center', 'Clubhouse', 'Controlled Access', 'Business Center', 'Grill', 'Gated', 'Pet Play Area', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'Washer/Dryer Hookup', 'High Speed Internet Access', 'Granite Countertops', 'Yard', 'Microwave']"
Innovo Hyde Park,"611 S Magnolia Ave, Tampa, FL 33606","$1,750 - $2,395",Studio - 2 Beds,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Recycling', 'Grill', 'Gated', 'Conference Rooms', 'Key Fob Entry', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'Washer/Dryer Hookup', 'High Speed Internet Access', 'Hardwood Floors', 'Walk-In Closets', 'Island Kitchen']"
Greenwich Commons Apartment Homes,"14608 N 43rd St, Tampa, FL 33613","$1,145 - $1,605",1-2 Beds,"['Fitness Center', 'Laundry Facilities', 'Pet Washing Station', 'Package Service', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Walk-In Closets', 'Microwave', 'Refrigerator', 'Tub/Shower', 'Disposal']"
Palmera Pointe,"7417 Palmera Pointe Cir, Tampa, FL 33615","$1,490 - $2,495",1-4 Beds,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Playground', 'High Speed Internet Access', 'Walk-In Closets', 'Granite Countertops', 'Tile Floors']"
Green Oaks Apartments,"3801 W Tyson Ave, Tampa, FL 33611","$1,250 - $1,662",1-2 Beds,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Playground', 'Air Conditioning', 'Dishwasher', 'Washer/Dryer Hookup', 'High Speed Internet Access']"
Millennium Westshore,"4400 W Spruce St, Tampa, FL 33607","$1,814 - $5,425",Studio - 3 Beds,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Elevator', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Hardwood Floors', 'Walk-In Closets', 'Granite Countertops', 'Microwave']"
Palm Avenue Apartments,"10610 N 30th St, Tampa, FL 33612","$1,185 - $1,735",1-3 Beds,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Playground', 'Air Conditioning', 'Dishwasher', 'Washer/Dryer Hookup', 'High Speed Internet Access']"
Inertia Apartments,"4004 S Manhattan Ave, Tampa, FL 33611","$1,299 - $1,849",Studio - 2 Beds,[]
IQ Luxury,"12708 Bruce B Downs Blvd, Tampa, FL 33612","$959 - $1,949",1-4 Beds,"['Pool', 'Furnished Units Available', 'Elevator', 'Controlled Access', 'Recycling', 'Business Center', 'Grill', 'Community-Wide WiFi', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Hardwood Floors', 'Walk-In Closets', 'Island Kitchen', 'Granite Countertops']"
Country Square Villas and Candlewood One,"8449 Aiken Ct, Tampa, FL 33615","$1,066 - $1,803",Studio - 2 Beds,"['Air Conditioning', 'Washer/Dryer Hookup', 'High Speed Internet Access', 'Refrigerator']"
Inertio Apartments,"4216 S Manhattan Ave, Tampa, FL 33611","$1,299 - $1,949",Studio - 2 Beds,"['Pool', 'Laundry Facilities', '24 Hour Access', 'Property Manager on Site', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Hardwood Floors', 'Microwave', 'Refrigerator', 'Tub/Shower', 'Disposal']"
Union on Fletcher,"3600 E Fletcher Ave, Tampa, FL 33613","$949 - $1,875",Studio - 4 Beds,"['Pool', 'Fitness Center', 'Furnished Units Available', 'Elevator', 'Clubhouse', 'Controlled Access', 'Business Center', 'Grill', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Walk-In Closets', 'Island Kitchen', 'Granite Countertops', 'Microwave']"
WestShore Apartments,"4601 W Gray St, Tampa, FL 33609","$1,390 - $2,150",1-2 Beds,"['Pool', 'Laundry Facilities', 'Elevator', 'Recycling', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Hardwood Floors', 'Walk-In Closets', 'Granite Countertops', 'Microwave']"
The Oaks of Woodland Park Apartments,"4747 W Waters Ave, Tampa, FL 33614","$1,465 - $2,380",1-3 Beds,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Playground', 'Clubhouse', 'Controlled Access', 'Business Center', 'Grill', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'Washer/Dryer Hookup']"
Park East,"2020 E Bearss Ave, Tampa, FL 33613","$1,099 - $1,749",1-2 Beds,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Clubhouse', 'Air Conditioning', 'Dishwasher', 'Washer/Dryer Hookup', 'High Speed Internet Access', 'Walk-In Closets', 'Refrigerator', 'Tub/Shower', 'Disposal']"
Bella Mar Apartment Homes,"12406 N 15th St, Tampa, FL 33612","$1,039 - $1,430",1-2 Beds,"['Pool', 'Laundry Facilities', 'Grill', 'Laundry Service', 'Walk-In Closets', 'Refrigerator', 'Tile Floors', 'Window Coverings']"
Reflections,"14525 Prism Cir, Tampa, FL 33613",$829 - $889,3-4 Beds,"['Pool', 'Furnished Units Available', 'Clubhouse', 'Business Center', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access']"
On50,"5001 Excellence Blvd, Tampa, FL 33617","$839 - $1,649",1-4 Beds,"['Pool', 'Furnished Units Available', 'Elevator', 'Clubhouse', 'Business Center', 'Grill', 'Community-Wide WiFi', 'Trash Pickup - Door to Door', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'Walk-In Closets', 'Microwave', 'Refrigerator', 'Wi-Fi', 'Tub/Shower']"
Foxcroft Apartments,"3807 Tower Rd, Tampa, FL 33614","$1,237 - $1,513",1-3 Beds,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Playground', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'Washer/Dryer Hookup', 'High Speed Internet Access', 'Walk-In Closets', 'Microwave', 'Refrigerator']"
Preserve at Mobbly Bay,"8210 Solano Bay Loop, Tampa, FL 33635","$1,293 - $2,933",1-3 Beds,"['Pool', 'Fitness Center', 'Clubhouse', 'Property Manager on Site', 'Air Conditioning', 'Dishwasher', 'Washer/Dryer Hookup', 'Walk-In Closets']"
Verra North,"1250 Skipper Rd, Tampa, FL 33613","$999 - $1,299",1-2 Beds,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Playground', 'Air Conditioning', 'High Speed Internet Access', 'Hardwood Floors', 'Walk-In Closets', 'Microwave', 'Refrigerator', 'Tub/Shower', 'Patio']"
Courtney Cove Apartment Homes,"5510 N Himes Ave, Tampa, FL 33614","$1,158 - $2,058",Studio - 2 Beds,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Clubhouse', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Walk-In Closets']"
Hamilton Point on Egypt Lake,"6900 Concord Dr, Tampa, FL 33614","$1,259 - $2,366",1-3 Beds,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Playground', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Refrigerator', 'Tub/Shower', 'Disposal', 'Ice Maker']"
Oakwood Apartments,"1104 E 140th Ave, Tampa, FL 33613","$1,150 - $1,550",1-2 Beds,"['Pool', 'Gated', '24 Hour Access', 'Property Manager on Site', 'Washer/Dryer', 'Air Conditioning', 'Hardwood Floors', 'Walk-In Closets']"
The Park at Chesterfield Apartment Homes,"5039 Chalet Ct, Tampa, FL 33617","$1,299 - $2,150",1-3 Beds,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Playground', 'Washer/Dryer', 'Dishwasher', 'High Speed Internet Access', 'Hardwood Floors', 'Walk-In Closets', 'Refrigerator', 'Tub/Shower', 'Freezer']"
Terrace Trace Apartments,"9135 Talina Ln, Tampa, FL 33637","$1,100 - $1,900",Studio - 2 Beds,"['Property Manager on Site', 'Maintenance on site', 'Walking/Biking Trails', 'Storage Space', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Patio']"
The Summit at Sabal Park Apartments,"4006 Sabal Park Dr, Tampa, FL 33610","$1,284 - $2,270",1-2 Beds,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Playground', 'Air Conditioning', 'Dishwasher', 'Washer/Dryer Hookup', 'High Speed Internet Access']"
Rocky Creek Village Senior Living,"8606 Boulder Ct, Tampa, FL 33615","$950 - $1,350",Studio - 2 Beds,"['Pool', 'Laundry Facilities', 'Controlled Access', 'Gated', 'Air Conditioning', 'Walk-In Closets', 'Yard', 'Refrigerator', 'Tub/Shower', 'Freezer', 'Patio', 'Tile Floors']"
The Ivy,"3424 Jefferson Commons Dr, Tampa, FL 33613","$649 - $1,359",1-4 Beds,"['Pool', 'Fitness Center', 'Furnished Units Available', 'Clubhouse', 'Controlled Access', 'Business Center', 'Grill', 'Gated', 'Air Conditioning', 'Dishwasher', 'High Speed Internet Access', 'Hardwood Floors', 'Microwave', 'Refrigerator', 'Disposal', 'Ceiling Fans']"
Vue Tampa,"5610 Graduate Cir, Tampa, FL 33617",$699 - $777,3-4 Beds,"['Pool', 'Clubhouse', 'Lounge', 'Maintenance on site']"
Copeland Village,"1250 E 113th Ave, Tampa, FL 33612","$847 - $1,739",Studio - 1 Bed,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Clubhouse', 'Air Conditioning', 'High Speed Internet Access', 'Refrigerator', 'Ceiling Fans']"
The Pointe at Carrollwood,"4949 Marbrisa Dr, Tampa, FL 33624","$1,411 - $4,979",1-2 Beds,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Playground', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'Washer/Dryer Hookup', 'High Speed Internet Access', 'Walk-In Closets', 'Granite Countertops', 'Microwave']"
Garden Terrace,"8725 Del Ray Ct, Tampa, FL 33617","$838 - $1,329",Studio - 2 Beds,"['Laundry Facilities', '24 Hour Access', 'Package Service', 'Property Manager on Site', 'Air Conditioning', 'Washer/Dryer Hookup', 'High Speed Internet Access', 'Tub/Shower']"
Riverside Palms,"5008 Sierra Pl, Tampa, FL 33617","$1,000 - $1,785",Studio - 3 Beds,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Playground', 'Washer/Dryer', 'Dishwasher', 'Washer/Dryer Hookup', 'High Speed Internet Access']"
River Pines Senior Apartments 55+,"7517 N 40th St, Tampa, FL 33604",$735 - $825,Studio - 1 Bed,"['Air Conditioning', 'Refrigerator', 'Tub/Shower', 'Disposal']"
Gardens at South Bay,"6720 S Lois Ave, Tampa, FL 33616","$911 - $1,662",1-4 Beds,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Playground', 'Air Conditioning', 'Dishwasher', 'Washer/Dryer Hookup', 'High Speed Internet Access', 'Walk-In Closets', 'Microwave', 'Refrigerator', 'Tub/Shower']"
MAA Tampa Oaks,"8425 Montravail Cir, Temple Terrace, FL 33637","$1,498 - $3,528",1-3 Beds,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Elevator', 'Playground', 'Clubhouse', 'Business Center', 'Grill', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'Loft Layout', 'High Speed Internet Access', 'Hardwood Floors', 'Walk-In Closets', 'Microwave']"
Fisherman's Landing Apartment Homes,"8900 Fishermans Pointe Dr, Temple Terrace, FL 33637","$1,350 - $1,995",1-3 Beds,"['Pool', 'Fitness Center', 'Laundry Facilities', 'Playground', 'Washer/Dryer', 'Air Conditioning', 'Dishwasher', 'Washer/Dryer Hookup', 'Walk-In Closets', 'Refrigerator', 'Tub/Shower', 'Disposal']"
2301 N Jefferson St Unit 8,"2301 N Jefferson St Unit 8, Tampa, FL 33602","$1,000","Studio, 1 Bath, 400 sq ft","['Air Conditioning', 'Microwave', 'Refrigerator', 'Tub/Shower']"
2109 Bayshore Blvd Unit 306,"2109 Bayshore Blvd Unit 306, Tampa, FL 33606","$1,725","1 Bed, 1 Bath, 377 sq ft","['Air Conditioning', 'Hardwood Floors', 'Granite Countertops', 'Microwave']"
